,Year,Brazil Inflation Rate,Russia Inflation Rate,India Inflation Rate,China Inflation Rate,South Africa Inflation Rate
36,1996,15.7576656,47.7520122,8.977152338,8.313160289,7.354128857
37,1997,6.926712516,14.76132927,7.164252115,2.786465055,8.597770743
38,1998,3.195076293,27.68567981,13.23083898,-0.773186012,6.880552536
39,1999,4.858447499,85.7464941,4.66982038,-1.401472683,5.181487799
40,2000,7.044141059,20.79876066,4.00943591,0.347811227,5.338951583
41,2001,6.840359025,21.47700721,3.779293122,0.719125609,5.701904835
42,2002,8.450164377,15.78873079,4.297152039,-0.731970902,9.494706671
43,2003,14.71491972,13.66329302,3.805858995,1.127603487,5.679418064
44,2004,6.5971851,10.88861573,3.767251735,3.824637431,-0.692030138
45,2005,6.869537209,12.68530395,4.24634362,1.776414077,2.062852225
46,2006,4.183568129,9.668654548,5.796523376,1.649430995,3.243901675
47,2007,3.641272991,9.007298689,6.372881356,4.816767674,6.17781207
48,2008,5.678593903,14.11076778,8.349267049,5.92525137,10.05528203
49,2009,4.888034799,11.64732958,10.88235294,-0.728165251,7.264562145
50,2010,5.038726901,6.849392303,11.98938992,3.175324753,4.063538973
51,2011,6.636449622,8.440464859,8.858360966,5.553898923,5.017157733
52,2012,5.40349914,5.074743008,9.312445605,2.619524326,5.723943662
53,2013,6.204310666,6.753710262,11.06367478,2.621050017,5.776404135
54,2014,6.329040155,7.823411839,6.649500151,1.921641628,6.136020151
55,2015,9.029901024,15.53440505,4.906973441,1.437023809,4.509208278
56,2016,8.739143523,7.04244763,4.948216341,2.000001822,6.594604415
57,2017,3.44637335,3.683329444,3.328173375,1.593136001,5.181082233
58,2018,3.664850284,2.878297236,3.945068664,2.0747904,4.504577493
59,2019,3.732976212,4.470366608,3.723276483,2.899234164,4.124350725
60,2020,3.211768038,3.381659372,6.623436776,2.419421895,3.223885042
