Country,CPI Score,CPI Rank
Denmark,88,1
New Zealand,88,1
Finland,85,3
Singapore,85,3
Sweden,85,3
Switzerland,85,3
Norway,84,7
Netherlands,82,8
Germany,80,9
Luxembourg,80,9
Australia,77,11
Canada,77,11
Hong Kong,77,11
United Kingdom,77,11
Austria,76,15
Belgium,76,15
Estonia,75,17
Iceland,75,17
Japan,74,19
Ireland,72,20
United Arab Emirates,71,21
Uruguay,71,21
France,69,23
Bhutan,68,24
Chile,67,25
United States,67,25
Seychelles,66,27
Taiwan,65,28
Barbados,64,29
Bahamas,63,30
Qatar,63,30
Spain,62,32
South Korea,61,33
Portugal,61,33
Botswana,60,35
Brunei Darussalam,60,35
Israel,60,35
Lithuania,60,35
Slovenia,60,35
Saint Vincent and the Grenadines,59,40
Cabo Verde,58,41
Costa Rica,57,42
Cyprus,57,42
Latvia,57,42
Georgia,56,45
Poland,56,45
Saint Lucia,56,45
Dominica,55,48
Czech Republic,54,49
Oman,54,49
Rwanda,54,49
Grenada,53,52
Italy,53,52
Malta,53,52
Mauritius,53,52
Saudi Arabia,53,52
Malaysia,51,57
Namibia,51,57
Greece,50,59
Armenia,49,60
Jordan,49,60
Slovak Republic,49,60
Belarus,47,63
Croatia,47,63
Cuba,47,63
Sao Tome and Principe,47,63
Montenegro,45,67
Senegal,45,67
Bulgaria,44,69
Hungary,44,69
Jamaica,44,69
Romania,44,69
South Africa,44,69
Tunisia,44,69
Ghana,43,75
Maldives,43,75
Vanuatu,43,75
Argentina,42,78
Bahrain,42,78
China,42,78
Kuwait,42,78
Solomon Islands,42,78
Benin,41,83
Guyana,41,83
Lesotho,41,83
Burkina Faso,40,86
India,40,86
Morocco,40,86
Timor-Leste,40,86
Trinidad and Tobago,40,86
Turkey,40,86
Colombia,39,92
Ecuador,39,92
Brazil,38,94
Ethiopia,38,94
Kazakhstan,38,94
Peru,38,94
Serbia,38,94
Sri Lanka,38,94
Suriname,38,94
Tanzania,38,94
Gambia,37,102
Indonesia,37,102
Albania,36,104
Algeria,36,104
Cote d'Ivoire,36,104
El Salvador,36,104
Kosovo,36,104
Thailand,36,104
Vietnam,36,104
Bosnia and Herzegovina,35,111
Mongolia,35,111
North Macedonia,35,111
Panama,35,111
Moldova,34,115
Philippines,34,115
Egypt,33,117
Eswatini,33,117
Nepal,33,117
Sierra Leone,33,117
Ukraine,33,117
Zambia,33,117
Niger,32,123
Bolivia,31,124
Kenya,31,124
Kyrgyzstan,31,124
Mexico,31,124
Pakistan,31,124
Azerbaijan,30,129
Gabon,30,129
Malawi,30,129
Mali,30,129
Russia,30,129
Lao PDR,29,134
Mauritania,29,134
Togo,29,134
Dominican Republic,28,137
Guinea,28,137
Liberia,28,137
Myanmar,28,137
Paraguay,28,137
Angola,27,142
Djibouti,27,142
Papua New Guinea,27,142
Uganda,27,142
Bangladesh,26,146
Central African Republic,26,146
Uzbekistan,26,146
Cameroon,25,149
Guatemala,25,149
Iran,25,149
Lebanon,25,149
Madagascar,25,149
Mozambique,25,149
Nigeria,25,149
Tajikistan,25,149
Honduras,24,157
Zimbabwe,24,157
Nicaragua,22,159
Cambodia,21,160
Chad,21,160
Comoros,21,160
Eritrea,21,160
Iraq,21,160
Afghanistan,19,165
Burundi,19,165
Republic of the Congo,19,165
Guinea Bissau,19,165
Turkmenistan,19,165
DR Congo,18,170
Haiti,18,170
North Korea,18,170
Libya,17,173
Equatorial Guinea,16,174
Sudan,16,174
Venezuela,15,176
Yemen,15,176
Syrian Arab Republic,14,178
Somalia,12,179
South Sudan,12,179
