Country,Gini Coefficient
South Africa,63
Namibia,59.1
Suriname,57.9
Zambia,57.1
Sao Tome and Principe,56.3
Central African Republic,56.2
Eswatini,54.6
Mozambique,54
Brazil,53.4
Belize,53.3
Botswana,53.3
Angola,51.3
Colombia,51.3
Guinea-Bissau,50.7
Zimbabwe,50.3
Panama,49.8
Republic of the Congo,48.9
Guatemala,48.3
Costa Rica,48.2
Honduras,48.2
Benin,47.8
Cameroon,46.6
Nicaragua,46.2
Paraguay,45.7
Ecuador,45.7
Jamaica,45.5
Mexico,45.4
Comoros,45.3
Guyana,45.1
Lesotho,44.9
Venezuela,44.8
Malawi,44.7
Chile,44.4
South Sudan,44.1
Rwanda,43.7
Ghana,43.5
Chad,43.3
Togo,43.1
Argentina,42.9
Uganda,42.8
Madagascar,42.6
Philippines,42.3
DR Congo,42.1
Iran,42
Papua New Guinea,41.9
Dominican Republic,41.9
Turkey,41.9
Djibouti,41.6
Bolivia,41.6
Cote d'Ivoire,41.5
Peru,41.5
United States,41.4
Bulgaria,41.3
Haiti,41.1
Malaysia,41.1
Turkmenistan,40.8
Kenya,40.8
Tanzania,40.5
Trinidad and Tobago,40.3
Senegal,40.3
Micronesia,40.1
Uruguay,39.7
Morocco,39.5
Sri Lanka,39.3
Tuvalu,39.1
Israel,39
El Salvador,38.8
Lao PDR,38.8
Samoa,38.7
Burundi,38.6
Montenegro,38.5
China,38.5
Indonesia,38.2
Gabon,38
Tonga,37.6
Vanuatu,37.6
Syrian Arab Republic,37.5
Russia,37.5
Bhutan,37.4
Solomon Islands,37.1
Kiribati,37
Mauritius,36.8
Somalia,36.8
Fiji,36.7
Yemen,36.7
Serbia,36.2
Gambia,35.9
Georgia,35.9
Italy,35.9
Romania,35.8
Lithuania,35.7
Sierra Leone,35.7
Vietnam,35.7
India,35.7
Luxembourg,35.4
Liberia,35.3
Burkina Faso,35.3
Uzbekistan,35.3
Latvia,35.1
United Kingdom,35.1
Nigeria,35.1
Ethiopia,35
Thailand,34.9
Nauru,34.8
Spain,34.7
Australia,34.4
Niger,34.3
Sudan,34.2
Tajikistan,34
Palestine,33.7
Jordan,33.7
Guinea,33.7
Portugal,33.5
Canada,33.3
Albania,33.2
Switzerland,33.1
North Macedonia,33
Bosnia and Herzegovina,33
Mali,33
Greece,32.9
Japan,32.9
Tunisia,32.8
Nepal,32.8
Cyprus,32.7
Mongolia,32.7
Mauritania,32.6
France,32.4
Bangladesh,32.4
Seychelles,32.1
Germany,31.9
Lebanon,31.8
Pakistan,31.6
Egypt,31.5
Ireland,31.4
South Korea,31.4
Maldives,31.3
Austria,30.8
Myanmar,30.7
Estonia,30.3
Poland,30.2
Sweden,30
Armenia,29.9
Croatia,29.7
Kyrgyzstan,29.7
Hungary,29.6
Iraq,29.5
Malta,28.7
Timor-Leste,28.7
Denmark,28.2
Netherlands,28.1
Kazakhstan,27.8
Norway,27.6
Algeria,27.6
Finland,27.3
Belgium,27.2
Azerbaijan,26.6
Ukraine,26.6
Iceland,26.1
United Arab Emirates,26
Moldova,25.7
Belarus,25.3
Czech Republic,25
Slovenia,24.6
